1101.TW 台泥 現價:32.80
1101B.TW 台泥乙特 現價:47.30
1102.TW 亞泥 現價:40.40
1103.TW 嘉泥 現價:18.40
1104.TW 環泥 現價:26.35
1108.TW 幸福 現價:13.90
1109.TW 信大 現價:17.75
1110.TW 東泥 現價:18.40
1201.TW 味全 現價:18.65
1203.TW 味王 現價:43.25
1210.TW 大成 現價:52.8
1213.TW 大飲 現價:7.16
1215.TW 卜蜂 現價:91.9
1216.TW 統一 現價:70.2
1217.TW 愛之味 現價:12.00
1218.TW 泰山 現價:21.00
1219.TW 福壽 現價:19.00
1220.TW 台榮 現價:13.60
1225.TW 福懋油 現價:53.8
1227.TW 佳格 現價:38.00
1229.TW 聯華 現價:61.8
1231.TW 聯華食 現價:88.3
1232.TW 大統益 現價:141.5
1233.TW 天仁 現價:34.75
1234.TW 黑松 現價:38.70
1235.TW 興泰 現價:80.6
1236.TW 宏亞 現價:24.90
1240.TWO 茂生農經 現價:45.00
1256.TW 鮮活果汁-KY 現價:240.0
1259.TWO 安心 現價:75.1
1264.TWO 德麥 現價:289.0
1268.TWO 漢來美食 現價:148.5
1301.TW 台塑 現價:78.6
1303.TW 南亞 現價:64.8
1304.TW 台聚 現價:19.55
1305.TW 華夏 現價:22.70
1307.TW 三芳 現價:24.20
1308.TW 亞聚 現價:24.35
1309.TW 台達化 現價:17.00
1310.TW 台苯 現價:15.75
1312.TW 國喬 現價:16.15
1312A.TW 國喬特 現價:-
1313.TW 聯成 現價:15.30
1314.TW 中石化 現價:10.25
1315.TW 達新 現價:71.6
1316.TW 上曜 現價:10.40
1319.TW 東陽 現價:76.8
1321.TW 大洋 現價:36.05
1323.TW 永裕 現價:31.30
1324.TW 地球 現價:18.25
1325.TW 恆大 現價:22.45
1326.TW 台化 現價:63.2
1336.TWO 台翰 現價:20.30
1337.TW 再生-KY 現價:7.03
1338.TW 廣華-KY 現價:36.60
1339.TW 昭輝 現價:61.1
1340.TW 勝悅-KY 現價:11.65
1341.TW 富林-KY 現價:64.0
1342.TW 八貫 現價:115.0
1402.TW 遠東新 現價:30.25
1409.TW 新纖 現價:15.35
1410.TW 南染 現價:37.40
1413.TW 宏洲 現價:8.15
1414.TW 東和 現價:17.45
1416.TW 廣豐 現價:10.45
1417.TW 嘉裕 現價:12.15
1418.TW 東華 現價:21.90
